Pronomen + _sein_;"Аз съм
 Ти си
 Той е, Тя е, То е
 Ние сме
 Вие сте
 Те са";grammatik;1
Guten Tag!;Добър ден!;;2
Hallo!;"Здравейте! (förmlich)
 Здравей!";;3
"Gibt es…?

Gibt es ein freies Zimmer?
Ja, gibt es.";"Има ли…
 
 Има ли свободна стая?
 
 Да, има.";;4
Gibt es nicht / There aren't;"няма
 
 Не, няма!";;5
freies Apartment;свободен апартамент;;6
Sind Sie ein Tourist? Nein, ich bin kein Tourist. Ich bin Geschäftsmann.;"Турист ли сте?
 Не, не съм турист.
 Бизнесмен съм.";;7
Name;име;;8
You are welcome;Моля;;9
Bitte! | Wie bitte? | Pardon?;"Моля!
 Моля?";;10
Here you are / There you go;"заповядайте (formell)
 заповядай";;11
Wie heißen Sie? Ich heiße...;"Как се казвате? (formell) / Как се казваш?
 Казвам се…
 
 Казвам се Ралф Вестфал.";;12
Are you English? Yes, I’m English.;"Англичанин ли сте?
 Да, англичанин (англичанка) съм.";;13
Amerikaner(in);"американец
 американка";;14
Kanadier(in);"канадец
 канадка";;15
Deutscher;"немец
 германец";;16
Deutschland | aus Deutschland;"германия
 
 от германия";;17
Pass;паспорта;;18
Danke;"благодария
 мерси";;19
Woher (kommen Sie?);"Откъде (сте?)
 
 Откъде си? (informell)";;20
Wo;къде;;21
Wie / Wie geht es Ihnen?;"Как
 
 Как сте?
 Как си?";;22
Mir geht es gut;"Добре съм
 
 Аз съм добре";;23
Und Ihnen? (als Antwort auf: Wie geht es Ihnen?);"А Вие?
 
 А ти? (informell)";;24
Guten Morgen / Guten Abend;"добро утро
 Добър бечер";;25
Mann / Frau;"мъж (m)
 жена (f)";;26
Bulgare/in;"българин (m)
 българка (f)";;27
Museum;музей (m);;28
Kaffee, Café;кафе (n);;29
Menü, Speisekarte;меню (n);;30
Brief;писмо (n);;31
Meer;море (n);;32
Taxi;такси (n);;33
Platz;място (n);;34
Ich bin frei (m/f);"Свободен съм (m)
 Свободна съм (f)
 
 Da Adjektiv richtet sich nach dem Geschlecht des Sprechenden.";grammatik;35
Gut aussehend;"хубав
 хубава
 хубаво";;36
