"Pronomen + _sein_"	"Аз съм
 Ти си
 Той е, Тя е, То е
 Ние сме
 Вие сте
 Те са"
"Guten Tag!"	"Добър ден!"
"Hallo!"	"Здравейте! (förmlich)
 Здравей!"
"Gibt es…?

Gibt es ein freies Zimmer?
Ja, gibt es."	"Има ли…
 
 Има ли свободна стая?
 
 Да, има."
"Gibt es nicht / There aren't"	"няма
 
 Не, няма!"
"freies Apartment"	"свободен апартамент"
"Sind Sie ein Tourist? Nein, ich bin kein Tourist. Ich bin Geschäftsmann."	"Турист ли сте?
 Не, не съм турист.
 Бизнесмен съм."
"Name"	"име"
"You are welcome"	"Моля"
"Bitte! | Wie bitte? | Pardon?"	"Моля!
 Моля?"
"Here you are / There you go"	"заповядайте (formell)
 заповядай"
"Wie heißen Sie? Ich heiße..."	"Как се казвате? (formell) / Как се казваш?
 Казвам се…
 
 Казвам се Ралф Вестфал."
"Are you English? Yes, I’m English."	"Англичанин ли сте?
 Да, англичанин (англичанка) съм."
"Amerikaner(in)"	"американец
 американка"
"Kanadier(in)"	"канадец
 канадка"
"Deutscher"	"немец
 германец"
"Deutschland | aus Deutschland"	"германия
 
 от германия"
"Pass"	"паспорта"
"Danke"	"благодария
 мерси"
"Woher (kommen Sie?)"	"Откъде (сте?)
 
 Откъде си? (informell)"
"Wo"	"къде"
"Wie / Wie geht es Ihnen?"	"Как
 
 Как сте?
 Как си?"
"Mir geht es gut"	"Добре съм
 
 Аз съм добре"
"Und Ihnen? (als Antwort auf: Wie geht es Ihnen?)"	"А Вие?
 
 А ти? (informell)"
"Guten Morgen / Guten Abend"	"добро утро
 Добър бечер"
"Mann / Frau"	"мъж (m)
 жена (f)"
"Bulgare/in"	"българин (m)
 българка (f)"
"Museum"	"музей (m)"
"Kaffee, Café"	"кафе (n)"
"Menü, Speisekarte"	"меню (n)"
"Brief"	"писмо (n)"
"Meer"	"море (n)"
"Taxi"	"такси (n)"
"Platz"	"място (n)"
"Ich bin frei (m/f)"	"Свободен съм (m)
 Свободна съм (f)
 
 Da Adjektiv richtet sich nach dem Geschlecht des Sprechenden."
"Gut aussehend"	"хубав
 хубава
 хубаво"
"Fluss"	"река (f)
 
 Има ли река в лондон?"
"Adresse"	"адрес (m)"
"Bank"	"банка"
"Bier"	"бира"
"Computer"	"компютър"
"Show"	"шоу"
"Musik"	"музика"
"Kalender"	"календар"
"Problem"	"проблем"
"Sport"	"спорт"
"Firma"	"фирма"
"Fußball"	"футбол"
"Chauffeur"	"шофьор"
"Drucker"	"принтер"
"Büro"	"офис"
"Video"	"видео"
"Wörterbuch"	"речник"
"Wochenende"	"уикенд"
"angenehm, pleasant, nice"	"приятен"
"beautiful, lovely, pretty, nice"	"хубав
 
 хубав хотел
 
 хубаво море"
"Aufgabe, Übung"	"упражнение"
"Dies"	"това (n)
този (m)
тази (f)

това кафе
този ресторант
тази жена"
"Bitte, gern geschehen."	"Моля, няма защо."
"Ich hätte gern..."	"Бих искал..."
"to want / wollen"	"искам
 
 искаш
 иска
 искаме
 искате
 искат"
"Mineralwasser"	"минерална вода"
"Limonade"	"лимонада"
"Tee"	"чай"
"oder"	"или"
"reisen"	"пътувам"
"verlassen, abreisen"	"тръгвам"
"später"	"после"
"(superlativ bilden)"	"най-…
 
 най-после"
"endlich"	"най-после"
"ich auch / me too

Ich mag auch reisen."	"и аз (am Satzanfang)

И аз обичам да пътувам."
"Herr / Frau /Fräulein"	"господин
 госпожа
 госпожица"
"auch

Sie sind auch hier."	"също

Те също са тук."
"viel, sehr"	"много"
"werden"	"ставам"
"Student(in)"	"студент
 студентка"
"...ам Konjugation (reisen)"	"ам, аш, а, аме, ате, ат
 
Пътувам Пътуваш Пътува Пътуваме Пътувате Пътуват"
"haben"	"имам
 
 имаш ли ябълки?"
"wollen"	"искам
 
 Ще искам 1 килограм ябълки
 Ще искам …, моля."
"Futur-partikel"	"ще 
 ще пътувам за Софиа"
"Ich würde gern… (formal)"	"Бих искал…
 
 Бих искал една пържола, моля."
"Steak / Schnitzel"	"пържола"
"Grammatik: Vokativ"	"When a person or object is being addressed, a special form, called the  vocative, is used. The endings are -e for masculine nouns and -o (or -e) for feminine nouns. Here are examples of the most frequently used vocative forms, those for the  nouns meaning Mr., Mrs. and Miss. Note that the accent changes place in the
vocative of госпожа (госпожо!).
 
 господин / господин-е
 госпожа / госпож-о
 госпожица / госпожиц-е"
"Grammatik: Plural"	"Most masculine nouns, and practically all feminine nouns, form the plural by adding -и. Masculine nouns add this ending directly to the singular form, while feminine nouns _replace_ the singular ending -a by the ending -и.
 
 студент / студент-и  
 студентка / студентк-и"
"oft"	"често"
"Tomate"	"домат"
"Luftzug"	"течение"
"heute"	"днес"
"wehen, atmen, blasen

Es weht ein Luftzug."	"духам

духа течение."
"was

Was ist "течение"?"	"какво

какво е „течение?"
"Can I have/get… / Is it possible to..."	"Може ли…

Може ли меню, моля?
Може ли да дойда? (Can I come?)"
"hier <-> dort

hierher"	"тук <-> там

тука"
"leidtun / to regret / to be sorry"	"съшалявам"
"wann"	"кога"
"nicht haben"	"нямам

нямам вода"
"heute"	"днес"
"etwas, something"	"нещо"
"'was Neues"	"нещо ново"
"nichts, nothing"	"нищо"
"ankommen"	"пристигам"
"Stunde(n)

in/after 7 hours"	"час, часа

след 7 часа"
"auf/bei der Arbeit"	"на работа"
"aber, allerdings nicht"	"но"
"kein Problem, "da nich für""	"нищо"
"everything/all"	"всичко"
"jetzt"	"сега"
"pleasant, nice

angenehme Arbeit"	"приятен

приятна работа"
"leicht

„leichte Arbeit!“ (kann man jmd wünschen, wenn man geht)"	"лек

лека работа"
"Good bye"	"довиждане"
"bis"	"до"
"sehen"	"виждам"
"o’clock

at 7 o'clock"	"часа

в 7 часа"
"warum?

Warum bist du hier?"	"защо

защо си тук?"
"wieviel? how much? how many?"	"колко"
"0,1,2,3,4,5,6,7,8,9,10"	"нула
един
две
три
четири
пет
шест
седем
осем
девет
десет"
"11,12,13,14,15,16,17,18,19"	"единадесет / единайсет
дванадесет / дванайсет
тринадесет / …
четиринадесет
петнадесет
шестнадесет
седемнадесет
осемнадесет
деветнадесет"
"20,21,22,..."	"двадесет
двадесет и едно / двайсет и едно
двадесет и две
..."
"30,40,50,..."	"тридесет
читиридесет
петдесет
..."
"Kellner"	"сервитьор"
"kommen, to come

can I come?"	"идвам

да дойда

може ли да дойда?"
"can I (do + verb)"	"може ли (да + verb)"
"very fine / that’s alright"	"много добре"
"Was ist das?"	"какво е това?"
"Flugzeug"	"самолет"
"for now / im Moment"	"засега"
"schöner Tag (einen schönen Tag wünschen) / have a nice day"	"лек ден"
"Have a good rest"	"приятна почивка"
"all the best!"	"вситчко хубаво

вситчко добро"
"Haltestelle"	"спирка"
"Postamt

"Entschuldigung, wo ist die Post?""	"поща

"Моля, къде има поща?""
"Straße"	"улица"
"Reservierung"	"резервация"
"Gepäck"	"багаж"
"Toilette, WC"	"тоалетна"
"(An der) Information (Auskunft)"	"(на) информацията"
"Viel Spaß!"	"Приятно прекарване!"
"falls, wenn"	"ако"
"Frage"	"въпрос"
"Übersetzung/translation

Übersetzungsaufgabe"	"превод

Упражнение за превод"
"bestellen/to order

Ich würde gern bestellen"	"поръчвам

Бих искал да поръчвам"
"Belegschaft/staff"	"персонал"
"nur/just,only"	"само"
"vielleicht/maybe"	"може би"
"eventuell/maybe"	"евентуално (adv.)"
"sicher/sure

Ich bin sicher.

Ich bin unsicher."	"сигурно (adv.)

Сигурен съм.
Аз съм сигурен.

Не съм сигурен."
"klappen (ugs.)"	"ставам"
"Arzt"	"лекар"
"ungefähr"	"около"
